name,review_text_compound
ALDI,0.4215
ALDI,0.8779
ALDI,0.8481
ALDI,0.8176
ALDI,0.6249
ALDI,0.7579
ALDI,0.8225
ALDI,0.7003
ALDI,0.6249
ALDI,0.7783
ALDI,0.7964
ALDI,0.0
ALDI,0.0
ALDI,0.9118
ALDI,0.7506
ALDI,0.1635
ALDI,0.3818
ALDI,0.6249
ALDI,0.8074
ALDI,0.5994
ALDI,0.6808
ALDI,0.7906
ALDI,0.8126
ALDI,0.0
ALDI,0.6908
ALDI,0.91
ALDI,0.7269
ALDI,0.4404
ALDI,0.4404
ALDI,0.5423
ALDI,0.7579
ALDI,0.2584
ALDI,0.25
ALDI,0.7783
ALDI,0.3612
ALDI,0.0
ALDI,0.8481
ALDI,0.7964
ALDI,0.0
ALDI,0.8316
ALDI,0.4577
ALDI,0.7003
ALDI,0.6249
ALDI,0.6369
ALDI,0.6597
ALDI,-0.296
ALDI,-0.2732
ALDI,0.4215
ALDI,0.6369
ALDI,0.0772
ALDI,0.4404
ALDI,0.25
ALDI,0.9231
ALDI,0.6249
ALDI,0.5423
ALDI,0.7906
ALDI,-0.296
ALDI,-0.1027
ALDI,0.8074
ALDI,0.7269
ALDI,0.0516
ALDI,0.0
ALDI,0.5106
ALDI,0.6369
ALDI,0.9628
ALDI,0.8176
ALDI,-0.1531
ALDI,-0.3182
ALDI,0.6369
ALDI,0.5719
ALDI,0.0
ALDI,0.8316
ALDI,-0.2732
ALDI,0.8016
ALDI,0.7096
ALDI,0.0
ALDI,0.4404
ALDI,0.8555
ALDI,0.7783
ALDI,0.6369
ALDI,0.4404
ALDI,0.836
ALDI,0.296
ALDI,0.4404
ALDI,0.8934
ALDI,0.1779
ALDI,0.7783
ALDI,0.6249
ALDI,-0.2732
ALDI,0.2263
ALDI,0.0
ALDI,0.0
ALDI,0.4404
ALDI,-0.5614
ALDI,0.6249
ALDI,-0.7964
ALDI,0.6486
ALDI,0.3612
ALDI,0.0
ALDI,-0.6133
ALDI,0.4404
ALDI,0.5574
ALDI,0.7845
ALDI,-0.5423
ALDI,0.0
ALDI,0.6249
ALDI,0.0
ALDI,0.3612
ALDI,0.891
ALDI,0.8126
ALDI,0.6249
ALDI,0.6249
ALDI,0.6249
ALDI,0.3182
ALDI,0.6369
ALDI,0.4019
ALDI,0.0
ALDI,0.6249
ALDI,0.7906
ALDI,0.6486
ALDI,0.0
ALDI,0.2023
ALDI,0.0
ALDI,0.34
ALDI,0.7269
ALDI,0.6705
ALDI,0.7003
ALDI,0.4404
ALDI,0.8074
ALDI,0.296
ALDI,0.0
ALDI,0.7269
ALDI,0.0
ALDI,-0.7981
ALDI,-0.836
ALDI,0.8519
ALDI,0.9595
ALDI,0.6908
ALDI,0.7699
ALDI,0.2023
ALDI,0.5859
ALDI,0.8555
ALDI,-0.6692
ALDI,-0.8712
ALDI,0.9288
ALDI,0.7269
ALDI,0.6369
ALDI,0.9022
ALDI,0.1749
ALDI,-0.8624
ALDI,0.7351
ALDI,0.9599
ALDI,0.765
ALDI,0.6948
ALDI,-0.1027
ALDI,0.3182
ALDI,0.9769
ALDI,0.5719
ALDI,0.6134
ALDI,0.2023
ALDI,0.9516
ALDI,-0.8271
ALDI,0.8126
ALDI,0.2263
ALDI,0.5574
ALDI,0.8996
ALDI,0.9081
ALDI,0.6597
ALDI,0.8555
ALDI,0.9666
ALDI,0.9136
ALDI,0.8519
ALDI,0.4939
ALDI,0.6369
ALDI,0.0299
ALDI,-0.4019
ALDI,0.7906
ALDI,0.3612
ALDI,0.6369
ALDI,0.4404
ALDI,0.6369
ALDI,0.9393
ALDI,0.763
ALDI,0.0
ALDI,0.0
ALDI,0.7506
ALDI,0.5859
ALDI,0.2008
ALDI,0.1027
ALDI,0.8442
ALDI,0.0
ALDI,0.8807
ALDI,0.7579
ALDI,0.0
ALDI,0.0
ALDI,0.6249
ALDI,0.8807
ALDI,0.8481
ALDI,0.6908
ALDI,0.4404
ALDI,0.743
ALDI,0.7003
ALDI,0.2023
ALDI,0.4939
ALDI,0.836
ALDI,0.6549
ALDI,0.8795
ALDI,0.7003
ALDI,0.9186
ALDI,0.4019
ALDI,0.0
ALDI,0.4404
ALDI,0.2732
ALDI,0.4215
ALDI,0.0
ALDI,0.4404
ALDI,0.4404
ALDI,0.4939
ALDI,0.4404
ALDI,0.4019
ALDI,0.2732
ALDI,0.0
ALDI,0.0
ALDI,-0.2732
ALDI,0.4404
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
